,precision,recall,f1-score,support
adult,0.47841225626740946,0.39965095986038396,0.4354992076069731,1719.0
old,0.18880351262349068,0.24855491329479767,0.21459762944479102,692.0
young,0.34077750206782464,0.359825327510917,0.3500424808836024,1145.0
accuracy,0.3574240719910011,0.3574240719910011,0.3574240719910011,0.3574240719910011
macro avg,0.33599775698624157,0.33601040022203293,0.3333797726451222,3556.0
weighted avg,0.37773704699853533,0.3574240719910011,0.3649953144161718,3556.0
