,precision,recall,f1-score,support
adult,0.4817295980511571,0.46015125072716695,0.4706932460577209,1719.0
old,0.18083670715249664,0.1936416184971098,0.1870202372644801,692.0
young,0.3111679454390452,0.31877729257641924,0.31492666091458155,1145.0
accuracy,0.3627671541057368,0.3627671541057368,0.3627671541057368,0.3627671541057368
macro avg,0.3245780835475663,0.3241900539335653,0.32421338141226086,3556.0
weighted avg,0.3682563211268767,0.3627671541057368,0.3653348483991672,3556.0
